"Date","Price","Open","High","Low","Vol.","Change %"
"09/30/1985","326.00","326.00","326.00","326.00","","-0.97%"
"09/27/1985","329.20","329.20","329.20","329.20","","0.00%"
"09/26/1985","329.20","329.20","329.20","329.20","","0.21%"
"09/25/1985","328.50","328.50","328.50","328.50","","0.18%"
"09/24/1985","327.90","327.90","327.90","327.90","","0.06%"
"09/23/1985","327.70","327.70","327.70","327.70","","2.70%"
"09/20/1985","319.10","319.10","319.10","319.10","","0.82%"
"09/19/1985","316.50","316.50","316.50","316.50","","0.00%"
"09/18/1985","316.50","316.50","316.50","316.50","","-0.41%"
"09/17/1985","317.80","317.80","317.80","317.80","","-0.53%"
"09/16/1985","319.50","319.50","319.50","319.50","","-0.56%"
"09/13/1985","321.30","321.30","321.30","321.30","","0.56%"
"09/12/1985","319.50","319.50","319.50","319.50","","-0.47%"
"09/11/1985","321.00","321.00","321.00","321.00","","-0.19%"
"09/10/1985","321.60","321.60","321.60","321.60","","0.63%"
"09/09/1985","319.60","319.60","319.60","319.60","","0.63%"
"09/06/1985","317.60","317.60","317.60","317.60","","-2.58%"
"09/05/1985","326.00","326.00","326.00","326.00","","0.00%"
"09/04/1985","326.00","326.00","326.00","326.00","","-0.67%"
"09/03/1985","328.20","328.20","328.20","328.20","","-1.50%"
"08/30/1985","333.20","333.20","333.20","333.20","","-1.19%"
"08/29/1985","337.20","337.20","337.20","337.20","","-1.09%"
"08/28/1985","340.90","340.90","340.90","340.90","","1.46%"
"08/27/1985","336.00","336.00","336.00","336.00","","-0.47%"
"08/26/1985","337.60","337.60","337.60","337.60","","0.84%"
"08/23/1985","334.80","334.80","334.80","334.80","","-0.21%"
"08/22/1985","335.50","335.50","335.50","335.50","","-0.12%"
"08/21/1985","335.90","335.90","335.90","335.90","","0.45%"
"08/20/1985","334.40","334.40","334.40","334.40","","-1.96%"
"08/19/1985","341.10","341.10","341.10","341.10","","1.73%"
"08/16/1985","335.30","335.30","335.30","335.30","","1.21%"
"08/15/1985","331.30","331.30","331.30","331.30","","1.63%"
"08/14/1985","326.00","326.00","326.00","326.00","","-0.21%"
"08/13/1985","326.70","326.70","326.70","326.70","","-0.06%"
"08/12/1985","326.90","326.90","326.90","326.90","","1.65%"
"08/09/1985","321.60","321.60","321.60","321.60","","-0.34%"
"08/08/1985","322.70","322.70","322.70","322.70","","0.50%"
"08/07/1985","321.10","321.10","321.10","321.10","","0.34%"
"08/06/1985","320.00","320.00","320.00","320.00","","-1.14%"
"08/05/1985","323.70","323.70","323.70","323.70","","1.00%"
"08/02/1985","320.50","320.50","320.50","320.50","","-0.50%"
"08/01/1985","322.10","322.10","322.10","322.10","","-1.65%"
"07/31/1985","327.50","327.50","327.50","327.50","","0.71%"
"07/30/1985","325.20","325.20","325.20","325.20","","-0.40%"
"07/29/1985","326.50","326.50","326.50","326.50","","3.03%"
"07/26/1985","316.90","316.90","316.90","316.90","","-0.16%"
"07/25/1985","317.40","317.40","317.40","317.40","","-0.09%"
"07/24/1985","317.70","317.70","317.70","317.70","","-1.49%"
"07/23/1985","322.50","322.50","322.50","322.50","","1.67%"
"07/22/1985","317.20","317.20","317.20","317.20","","-0.53%"
"07/19/1985","318.90","318.90","318.90","318.90","","-0.34%"
"07/18/1985","320.00","320.00","320.00","320.00","","-1.72%"
"07/17/1985","325.60","325.60","325.60","325.60","","1.21%"
"07/16/1985","321.70","321.70","321.70","321.70","","1.87%"
"07/15/1985","315.80","315.80","315.80","315.80","","1.02%"
"07/12/1985","312.60","312.60","312.60","312.60","","-0.29%"
"07/11/1985","313.50","313.50","313.50","313.50","","-0.41%"
"07/10/1985","314.80","314.80","314.80","314.80","","0.00%"
"07/09/1985","314.80","314.80","314.80","314.80","","1.81%"
"07/08/1985","309.20","309.20","309.20","309.20","","-0.35%"
"07/03/1985","310.30","310.30","310.30","310.30","","0.68%"
"07/02/1985","308.20","308.20","308.20","308.20","","-1.82%"
"07/01/1985","313.90","313.90","313.90","313.90","","-1.20%"
