"Date","Price","Open","High","Low","Vol.","Change %"
"01/23/1996","403.50","403.40","403.50","403.50","","0.05%"
"01/22/1996","403.30","399.25","403.30","403.30","","0.98%"
"01/19/1996","399.40","396.25","399.40","399.40","","0.67%"
"01/18/1996","396.75","399.65","396.75","396.75","","-0.69%"
"01/17/1996","399.50","399.15","399.50","399.50","","0.29%"
"01/16/1996","398.35","396.05","398.35","398.35","","0.63%"
"01/15/1996","395.85","396.65","395.85","395.85","","-0.09%"
"01/12/1996","396.20","397.95","396.20","396.20","","-0.56%"
"01/11/1996","398.45","399.75","398.45","398.45","","-0.36%"
"01/10/1996","399.90","396.45","399.90","399.90","","0.90%"
"01/09/1996","396.35","396.40","396.35","396.35","","-0.06%"
"01/08/1996","396.60","395.70","396.60","396.60","","0.28%"
"01/05/1996","395.50","394.40","395.50","395.50","","0.27%"
"01/04/1996","394.45","394.30","394.45","394.45","","0.03%"
"01/03/1996","394.35","390.55","394.35","394.35","","0.96%"
"01/02/1996","390.60","387.10","390.60","390.60","","0.90%"
"12/29/1995","387.10","386.90","387.10","387.10","","0.08%"
"12/28/1995","386.80","386.80","386.80","386.80","","0.00%"
"12/27/1995","386.80","387.60","386.80","386.80","","-0.22%"
"12/26/1995","387.65","387.35","387.65","387.65","","0.04%"
"12/25/1995","387.50","387.50","387.50","387.50","","0.06%"
"12/22/1995","387.25","388.10","387.25","387.25","","-0.14%"
"12/21/1995","387.80","388.90","387.80","387.80","","-0.24%"
"12/20/1995","388.75","387.45","388.75","388.75","","0.35%"
"12/19/1995","387.40","387.90","387.40","387.40","","-0.06%"
"12/18/1995","387.65","386.50","387.65","387.65","","0.36%"
"12/15/1995","386.25","386.25","386.25","386.25","","0.01%"
"12/14/1995","386.20","386.45","386.20","386.20","","-0.06%"
"12/13/1995","386.45","388.35","386.45","386.45","","-0.45%"
"12/12/1995","388.20","388.40","388.20","388.20","","-0.04%"
"12/11/1995","388.35","389.80","388.35","388.35","","-0.35%"
"12/08/1995","389.70","389.00","389.70","389.70","","0.18%"
"12/07/1995","389.00","388.80","389.00","389.00","","0.08%"
"12/06/1995","388.70","387.20","388.70","388.70","","0.41%"
"12/05/1995","387.10","386.00","387.10","387.10","","0.26%"
"12/04/1995","386.10","386.60","386.10","386.10","","-0.03%"
"12/01/1995","386.20","387.25","386.20","386.20","","-0.28%"
"11/30/1995","387.30","388.80","387.30","387.30","","-0.39%"
"11/29/1995","388.80","389.20","388.80","388.80","","0.01%"
"11/28/1995","388.75","385.35","388.75","388.75","","0.91%"
"11/27/1995","385.25","383.45","385.25","385.25","","0.42%"
"11/24/1995","383.65","382.75","383.65","383.65","","0.21%"
"11/23/1995","382.85","382.80","382.85","382.85","","0.01%"
"11/22/1995","382.80","385.30","382.80","382.80","","-0.60%"
"11/21/1995","385.10","386.45","385.10","385.10","","-0.38%"
"11/20/1995","386.55","386.85","386.55","386.55","","-0.10%"
"11/17/1995","386.95","385.50","386.95","386.95","","0.31%"
"11/16/1995","385.75","385.25","385.75","385.75","","0.19%"
"11/15/1995","385.00","385.45","385.00","385.00","","-0.14%"
"11/14/1995","385.55","387.40","385.55","385.55","","-0.44%"
"11/13/1995","387.25","388.90","387.25","387.25","","-0.51%"
"11/10/1995","389.24","385.85","389.24","389.24","","0.90%"
"11/09/1995","385.75","385.05","385.75","385.75","","0.17%"
"11/08/1995","385.10","384.75","385.10","385.10","","0.06%"
"11/07/1995","384.85","382.35","384.85","384.85","","0.60%"
"11/06/1995","382.55","382.65","382.55","382.55","","0.05%"
"11/03/1995","382.35","382.90","382.35","382.35","","-0.10%"
"11/02/1995","382.75","382.40","382.75","382.75","","0.10%"
"11/01/1995","382.35","382.55","382.35","382.35","","-0.05%"
"10/31/1995","382.55","382.15","382.55","382.55","","0.10%"
"10/30/1995","382.15","382.10","382.15","382.15","","-0.04%"
"10/27/1995","382.30","382.65","382.30","382.30","","-0.09%"
"10/26/1995","382.65","382.90","382.65","382.65","","-0.03%"
"10/25/1995","382.75","382.40","382.75","382.75","","0.10%"
"10/24/1995","382.35","382.50","382.35","382.35","","-0.01%"
"10/23/1995","382.40","382.20","382.40","382.40","","0.01%"
"10/20/1995","382.35","382.05","382.35","382.35","","0.10%"
"10/19/1995","381.95","383.60","381.95","381.95","","-0.47%"
"10/18/1995","383.75","383.70","383.75","383.75","","0.00%"
"10/17/1995","383.75","383.85","383.75","383.75","","0.00%"
"10/16/1995","383.75","384.25","383.75","383.75","","-0.09%"
